imo,name_of_ship_ref,ship_type_ref,ship_type_group,dwt,tpc
9171187,ARARAT,Chemical/Products Tanker,Tanker-Handy,19787,32
9171266,CHAMP STAR,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73127,67.8
9171278,HONG YUN FA ZHAN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73148,67.8
9171280,HOEGH TRADER,Vehicles Carrier,"PCC/PCTC => 4,000 cars",27100,52.5
9171321,CAMISEA,Chemical/Products Tanker,Tanker-MR2,44577,51.5
9171357,MAYA,Chemical/Products Tanker,Tanker-MR2,44990,51.5
9171371,BOZKURT,General Cargo Ship,"General Cargo 5,000-9,999 dwt",9861,17.4
9171383,LADY SHAM,General Cargo Ship,"General Cargo 5,000-9,999 dwt",9802,17.4
9171395,IMMENSITY,General Cargo Ship,"General Cargo 5,000-9,999 dwt",9766,17.4
9171436,FPSO GUANABARA MV31,"FPSO, Oil","FPSO, Oil",299150,170.7
9171448,IMPALAS,Crude Oil Tanker,Tanker-VLCC,299167,170
9171450,STARK I,Crude Oil Tanker,Tanker-Suezmax,159681,117.5
9171462,SANAN,Crude Oil Tanker,Tanker-Suezmax,159758,117.5
9171474,HICRI KAAN,Chemical/Products Tanker,Tanker-Handy,10373,19.9
9171503,BRIGHT GOLD,Products Tanker,Tanker-MR2,44999,51
9171541,TAMREY S,Bulk Carrier,Bulk Carrier-Large Handy,31025,41.2
9171735,ROYAL MAJESTY,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",8941,18.3
9171852,FORZA POSITANO,Offshore Support Vessel,Offshore Support Vessel,6340,0
9171876,NARVAL,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2784,0
9172038,SINOPA,Crude Oil Tanker,Tanker-Suezmax,159681,117.5
9172052,SILVIA I,Crude Oil Tanker,Tanker-Suezmax,159711,117.5
9172105,CATIVERA,Bulk Carrier,Bulk Carrier-Small Handy,24154,34.2
9172117,FORTUNE TRADE I,Ro-Ro Cargo Ship,"Ro-ro cargo 1,000-1,499 LM",7001,0
9172129,GAS OMEGA,LPG Tanker,LPG-Small Gas Carrier,3183,11.3
9172131,GAS COURAGE,LPG Tanker,LPG-Small Gas Carrier,3183,11.1
9172155,HELGA ESSBERGER,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",9887,19.5
9172167,IEVOLI SHINE,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",9887,21
9172193,HARI ANAND,Products Tanker,Tanker-MR2,45457,50.8
9172210,CAPTAIN LEANDROS,Chemical/Products Tanker,Tanker-Handy,16028,27.1
9172222,FINNSTRAUM,Chemical/Products Tanker,Tanker-Handy,16028,27
9172234,MELATI 3,Chemical/Products Tanker,Tanker-MR1,31983,45.5
9172246,MELATI 4,Chemical/Products Tanker,Tanker-MR1,31967,45.5
9172258,MELATI 5,Chemical/Products Tanker,Tanker-MR1,31963,45.5
9172301,ISEACO WISDOM,Container Ship (Fully Cellular),Containership-Regional Feeder,18622,36.7
9172313,KUO CHANG,Container Ship (Fully Cellular),Containership-Regional Feeder,18618,36.7
9172387,CAPTAIN RABIE,Bulk Carrier,Bulk Carrier-Large Handy,35366,44.4
9172416,RUBY INDAH,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,77775,75.2
9172428,EMERALD INDAH,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,77734,75.2
9172430,ORIENTAL NAVIGATOR,Bulk Carrier,Bulk Carrier-Capesize,172940,119
9172442,LAKE DREAM,Refrigerated Cargo Ship,"Reefer-2,000-4,999dwt",3621,0
9172478,COTE D'IVOIRIAN STAR,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",14815,25.6
9172480,COLOMBIAN STAR,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",15000,25.6
9172507,SINAR KUDUS 88,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8911,19.3
9172521,TANSHU MARU,Cement Carrier,Cement Carrier,400,0
9172545,GUO DIAN 18,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,72272,66.6
9172557,JIA CHANG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,69064,64.4
9172571,WAN LI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,72413,66.6
9172600,SUSEONG NO. 2,Cement Carrier,Cement Carrier,10497,0
9172636,GAS STRENGTH,LPG Tanker,LPG-Very Large Gas Carrier,49609,69.5
9172648,CARNIVAL RADIANCE,Passenger/Cruise,"Cruise-100,000-149,999gt",10774,76.2
9172686,ZHEN HUA 31,"Heavy Load Carrier, semi submersible","Heavy Load Carrier, semi submersible",55950,0
9172698,VYBORG,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",8035,0
9172703,FRIO AEGEAN,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",8040,0
9172715,NARIVA,Chemical/Products Tanker,Tanker-MR1,30977,41.4
9172739,DANISA,LPG Tanker,LPG-Very Large Gas Carrier,49723,69.4
9172753,MAYA GAS I,LPG Tanker,LPG-Small Gas Carrier,3318,12.3
9172777,AMBITION,Passenger/Cruise,"Cruise-10,000-49,999gt",4923,0
9172856,UGO OCHA,"FSO, Oil","FSO, Oil",302561,184.6
9172909,SEIYU,Refrigerated Cargo Ship,"Reefer-2,000-4,999dwt",3046,0
9172947,FRIO STAR,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",11013,0
9172959,COOL ROYAL,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",12906,0
9173018,AG VALIANT,Bulk Carrier,Bulk Carrier-Small Handy,23986,35.2
9173032,NEXUS,Products Tanker,"Tanker-5,000-7,499dwt",7076,16.6
9173056,CAMILA,LPG Tanker,LPG-Small Gas Carrier,13777,25.2
9173068,SANMAR REGENT,LPG Tanker,LPG-Small Gas Carrier,13712,25.2
9173070,HELIUM GAS,LPG Tanker,LPG-Small Gas Carrier,17779,27.7
9173082,SUCCESS ALTAIR XLII,Products Tanker,Tanker-Handy,19996,30.4
9173109,OCEAN PROGRESS,Products Tanker,Tanker-Handy,17561,30.4
9173111,MAESTRO,Chemical/Products Tanker,Tanker-Handy,17575,30.4
9173135,MSC WIND II,Container Ship (Fully Cellular),Containership-Feedermax,29826,45.6
9173147,GARUDA SATYA,Bulk Carrier,"Bulk Carrier-<=4,999dwt",2585,0
9173159,ISPAT GAURAV,Bulk Carrier,"Bulk Carrier-<=4,999dwt",2585,0
9173202,EXPRESS SAIL,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",8012,17.2
9173214,KATI,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5145,0
9173317,CELLUS,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6252,14.4
9173355,GOLDEN SEA,Bulk Carrier,Bulk Carrier-Small Handy,15962,26.3
9173446,ARINA,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5001,14.4
9173692,TALI,General Cargo Ship,"General Cargo 10,000-14,999dwt",13340,26.8
9173721,ALEXIA 3,Crude/Oil Products Tanker,Tanker-LR2,105570,93.9
9173745,CHLOE,Crude Oil Tanker,Tanker-Suezmax,159539,117.5
9174086,MOZART 1,Chemical/Products Tanker,"Tanker-<=4,999dwt",3038,10.3
9174098,PARIS,Chemical/Products Tanker,"Tanker-<=4,999dwt",3613,11.8
9174220,PUYANG,Crude Oil Tanker,Tanker-VLCC,310105,176.8
9174232,HAWKS JAVAAHIRU,Products Tanker,"Tanker-<=4,999dwt",4985,0
9174244,SWARD,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8501,16
9174268,SEAGUARDIAN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75462,67.3
9174270,PROTEUS M,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75484,67.3
9174282,DELPHINUS LEADER,Vehicles Carrier,"PCC/PCTC => 4,000 cars",21514,54.6
9174359,PG GAS JUNIOR,LPG Tanker,LPG-Small Gas Carrier,5992,15
9174361,GALAXY GAS,LPG Tanker,LPG-Small Gas Carrier,5996,15
9174373,SANTIAGO,Products Tanker,Tanker-MR2,45274,50.6
9174385,ZAMORA,Products Tanker,Tanker-MR2,45268,50.6
9174397,ARES,Crude Oil Tanker,Tanker-VLCC,311168,169.5
9174490,LIBRA LEADER,Vehicles Carrier,"PCC/PCTC => 4,000 cars",22734,54.5
9174505,OS KANO 35,Bulk Carrier,Bulk Carrier-Large Handy,35360,44.4
9174608,HALIA,Chemical/Products Tanker,Tanker-MR2,46475,51.9
9174610,JACINDA,Chemical/Products Tanker,Tanker-MR2,46473,51.9
9174622,SALUTE LEGEND,Chemical/Products Tanker,Tanker-MR2,46471,51.9
9174634,GOLDEN SUCCESSFUL 82,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73018,65.8
9174660,JAMES II,Crude Oil Tanker,Tanker-Suezmax,159713,117.5
9174701,MARTA REEFER,Refrigerated Cargo Ship,"Reefer-5,000-7,999dwt",5061,15
9174713,ZALIV STRELOK,Chemical/Products Tanker,"Tanker-<=4,999dwt",4999,13
9174751,DHARMA KARTIKA VII,Vehicles Carrier,PCC/PCTC 500-999 cars,2779,15.5
9174763,ORCHID,Vehicles Carrier,PCC/PCTC 500-999 cars,3769,15.5
9174775,JOURI,Livestock Carrier,Livestock Carrier,4033,15.5
9175004,JB FOSTER,Platform Supply Ship,Platform Supply Ship,1450,0
9175078,ZAMBRA,Crude Oil Tanker,Tanker-Suezmax,157327,117.3
9175080,LIZA DESTINY,"FPSO, Oil","FPSO, Oil",309344,169.5
9175133,HUI XIN,Chemical/Products Tanker,"Tanker-<=4,999dwt",3249,9.7
9175157,MAMMAD AMIN RESULZADEH,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6131,20.4
9175169,SURBHI,Products Tanker,"Tanker-5,000-7,499dwt",6623,20.4
9175171,METIN HUSEYNOV,Products Tanker,"Tanker-5,000-7,499dwt",6623,20.4
9175183,ELVIN SAFAROV,Products Tanker,"Tanker-5,000-7,499dwt",6620,20.4
9175195,ALI NAJAFOV,Crude/Oil Products Tanker,"Tanker-5,000-7,499dwt",6620,20.4
9175200,VEDMATA,Products Tanker,"Tanker-5,000-7,499dwt",6620,20
9175212,SUNDARI,Products Tanker,"Tanker-5,000-7,499dwt",6623,20
9175224,VISHVAMATA,Products Tanker,"Tanker-5,000-7,499dwt",6620,20.5
9175236,VARUNI,Products Tanker,"Tanker-5,000-7,499dwt",6620,20
9175248,VAMIKA,Products Tanker,"Tanker-5,000-7,499dwt",6620,19
9175274,SEA REEFER,Refrigerated Cargo Ship,"Reefer-5,000-7,999dwt",7836,50
9175286,POLTAVA,Refrigerated Cargo Ship,"Reefer-5,000-7,999dwt",7836,50
9175327,DONG JIANG YOU,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75265,67.8
9175470,MARIA DEL CARMEN VII,Products Tanker,"Tanker-<=4,999dwt",4999,13.3
9175482,MARIA DEL CARMEN VI,Products Tanker,"Tanker-<=4,999dwt",4999,13.3
9175494,RAHAF 1,Ro-Ro Cargo Ship,"Ro-ro cargo 2,000-2,999 LM",14413,42.1
9175535,JORYA,Chemical/Products Tanker,Tanker-Handy,22377,32.9
9175597,HR RHEA,Container Ship (Fully Cellular),Containership-Regional Feeder,23840,39.7
9175602,KOTA ANGGUN,Container Ship (Fully Cellular),Containership-Regional Feeder,23842,39.7
9175614,HR HERA,Container Ship (Fully Cellular),Containership-Regional Feeder,23849,39.7
9175638,OCEAN PHOENIX,Bulk Carrier,Bulk Carrier-Handymax,46610,51.4
9175705,MANDO,Container Ship (Fully Cellular),Containership-Regional Feeder,17250,29.4
9175743,ANGEL 38,Products Tanker,Tanker-Handy,10300,19.6
9175755,JOAQUINO ELIEZER,Products Tanker,Tanker-Handy,10308,19.6
9175767,ERDEK,Chemical/Products Tanker,Tanker-Handy,10307,19.6
9175779,HR TURAG,Container Ship (Fully Cellular),Containership-Regional Feeder,17733,33.9
9175781,MAERSK ANTWERP,Container Ship (Fully Cellular),Containership-Regional Feeder,17733,33.9
9175822,NORAN,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8595,16.3
9175858,TRANG AN 06,General Cargo Ship,"General Cargo 5,000-9,999 dwt",7547,0
9175860,ROMANTIC,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8595,16.3
9175872,SEA ELEPHANT,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8747,0
9175896,SKYCHEMI,Chemical/Products Tanker,"Tanker-<=4,999dwt",3345,13
9175901,CATTLE FORCE,Livestock Carrier,Livestock Carrier,12734,0
9175913,DSM LAILA,Bulk Carrier,Bulk Carrier-Small Handy,23612,33.5
9175925,WORLD SPIRIT,Vehicles Carrier,"PCC/PCTC 3,000-3,999 cars",14101,41
9176125,DERNA,LPG Tanker,LPG-Small Gas Carrier,4197,13
9176187,AN TAI DILIGENCE,General Cargo Ship,"General Cargo 10,000-14,999dwt",11042,16.9
9176199,SEIZAN MARU,Cement Carrier,Cement Carrier,5714,0
9176216,TRANS FUTURE 1,Vehicles Carrier,"PCC/PCTC 1,000-1,499 cars",10347,37.4
9176228,SOUBI MARU,Crude/Oil Products Tanker,"Tanker-<=4,999dwt",4999,0
9176278,CHANG BAO HAI,Bulk Carrier,Bulk Carrier-Handymax,48220,51.8
9176357,REGGANE,LPG Tanker,LPG-Very Large Gas Carrier,54592,70.1
9176369,DJANET,LPG Tanker,LPG-Very Large Gas Carrier,54584,70.1
9176395,HOEGH TRANSPORTER,Vehicles Carrier,"PCC/PCTC => 4,000 cars",16747,56.7
9176412,VIRGO I,Products Tanker,Tanker-Handy,17781,37
9176462,ESPERANZA 101,General Cargo Ship,"General Cargo 10,000-14,999dwt",12248,22.5
9176474,AKDENIZ,General Cargo Ship,"General Cargo 5,000-9,999 dwt",7853,0
9176498,TAKUYO MARU,Limestone Carrier,Limestone Carrier,10750,22.3
9176565,BOHEME,Vehicles Carrier,"PCC/PCTC => 4,000 cars",28360,53
9176577,ELEKTRA,Vehicles Carrier,"PCC/PCTC => 4,000 cars",28126,53
9176606,ASIAN EMPIRE,Vehicles Carrier,"PCC/PCTC => 4,000 cars",25765,55
9176632,ASIAN EMPEROR,Vehicles Carrier,"PCC/PCTC => 4,000 cars",21479,52.4
9176656,ASTRID 1,Products Tanker,Tanker-MR1,32950,40
9176668,CHANG YAO HAI,Bulk Carrier,Bulk Carrier-Handymax,45724,49.8
9176694,TRANS CATALONIA,LPG/Chemical Tanker,LPG-Small Gas Carrier,19733,31.2
9176711,CHANG MING XIANG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,72495,66.6
9176747,LUCKY DRAGON,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73035,65
9176759,MAKATI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73035,65.3
9176761,JAKA TARUB,Crude/Oil Products Tanker,Tanker-LR1,74999,70.5
9176773,ZARO,Crude/Oil Products Tanker,Tanker-LR1,76002,70.5
9176814,MAKISIG,Products Tanker,"Tanker-<=4,999dwt",4980,0
9176979,KAPITAN TEPLYUKOV,Refrigerated Cargo Ship,"Reefer-<=1,999dwt",1203,0
9176981,EM SPLENDOUR,"FSO, Oil","FSO, Oil",281705,177.6
9176993,HELGA,Crude Oil Tanker,Tanker-VLCC,298620,181
9177026,CHANG AN KOU,Vehicles Carrier,"PCC/PCTC => 4,000 cars",12780,38.8
9177038,CHANG RONG KOU,Vehicles Carrier,"PCC/PCTC => 4,000 cars",12778,38.8
9177040,CHANG SHENG HONG,Vehicles Carrier,"PCC/PCTC => 4,000 cars",12743,38.8
9177052,MOSEL ACE,Vehicles Carrier,"PCC/PCTC => 4,000 cars",12761,39.8
9177155,DESTINY,Crude Oil Tanker,Tanker-VLCC,281050,174
9177387,JIN WANG,Refrigerated Cargo Ship,"Reefer-<=1,999dwt",208,0
9177399,BARBARA-B,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5535,4.8
9177404,KONOSHA,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6207,20
9177428,CRUX LEADER,Vehicles Carrier,"PCC/PCTC => 4,000 cars",21523,55.5
9177430,AH SHIN,Vehicles Carrier,"PCC/PCTC => 4,000 cars",21503,54.6
9177466,HS ARYA,LPG Tanker,LPG-Small Gas Carrier,4112,12.3
9177492,HARVEY WELL,Bulk Carrier,Bulk Carrier-Small Handy,24252,34.2
9177545,BERTOLLE,LPG Tanker,LPG-Medium Gas Carrier,23495,35.9
9177557,GAS LUCKY,LPG Tanker,LPG-Medium Gas Carrier,23503,35.8
9177569,SEA SOAR,LPG Tanker,LPG-Medium Gas Carrier,23495,35.9
9177571,NAVIGATOR PLUTO,LPG Tanker,LPG-Medium Gas Carrier,23484,35.8
9177583,GREAT SAIL,LPG Tanker,LPG-Medium Gas Carrier,23495,35.8
9177595,RIKURYU MARU,Cement Carrier,Cement Carrier,10836,0
9177624,JIN XIU HE,General Cargo Ship,"General Cargo 20,000-29,999dwt",29500,41
9177636,HAI XING,General Cargo Ship,"General Cargo 20,000-29,999dwt",29517,41
9177648,CHANG YANG JIN FA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73035,65
9177650,KANG HE 6,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73035,65
9177765,YASMINA,General Cargo Ship,"General Cargo 10,000-14,999dwt",13347,23.5
9177777,AK SUAVE,General Cargo Ship,"General Cargo 10,000-14,999dwt",13347,23.4
9177789,LUNA MARE,General Cargo Ship,"General Cargo 10,000-14,999dwt",13347,23.5
9177791,FISHER,General Cargo Ship,"General Cargo 10,000-14,999dwt",12974,23.4
9177806,MEER GAS,LPG Tanker,LPG-Medium Gas Carrier,29121,42.5
9177856,SEVEN NAVICA,Pipe Layer,Pipe Layer,9560,0
9177959,GAS HELENA,LPG Tanker,LPG-Small Gas Carrier,3890,11.6
9177961,GLAMOR,General Cargo Ship (Open Hatch),"General Cargo 20,000-29,999dwt",24073,34.2
9177973,NBA STAR,General Cargo Ship (Open Hatch),"General Cargo 20,000-29,999dwt",24035,34.2
9177985,REAL PRESTIGE,Bulk Carrier,Bulk Carrier-Small Handy,24351,34.2
9178018,AURORA PETROL,Products Tanker,"Tanker-<=4,999dwt",3395,0
9178044,CONFIDENCE P,Products Tanker,Tanker-MR2,47165,50.2
9178068,KATSUYA,Products Tanker,Tanker-MR2,47106,50.3
9178070,OSTROV ANTSIFEROVA,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6175,13.4
9178094,AL AMAL,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8913,19.3
9178197,STOLT CONCEPT,Chemical/Products Tanker,Tanker-MR1,37236,48.6
9178202,STOLT EFFORT,Chemical/Products Tanker,Tanker-MR1,37155,48.6
9178226,RUN YUAN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73729,65.4
9178238,GRIYA ENIM,Products Tanker,Tanker-Handy,18010,39.2
9178240,SEMAR 77,Products Tanker,Tanker-Handy,18050,39.2
9178276,MYD HANGZHOU,Container Ship (Fully Cellular),Containership-Feedermax,30703,49.4
9178290,TB FENGZE,Container Ship (Fully Cellular),Containership-Feedermax,30703,49.4
9178329,ORLEANS HAWK,Crude Oil Tanker,Tanker-Aframax,105994,92
9178393,MERATUS MEDAN 5,Container Ship (Fully Cellular),Containership-Regional Feeder,24327,40.9
9178410,ABEILLE HORIZON,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2900,0
9178525,TENDA,Container Ship (Fully Cellular),Containership-Feedermax,28879,55.4
9178549,SUNGAI MAS,Container Ship (Fully Cellular),Containership-Feedermax,28876,55.4
9178551,SELIN-M,Bulk Carrier,Bulk Carrier-Large Handy,31770,45.4
9178563,PHONG LAN,Anchor Handling Tug Supply,Anchor Handling Tug Supply,1598,0
9178654,PACIFIC VIOLET,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",8076,0
9178678,GAS NUSA,LPG Tanker,LPG-Medium Gas Carrier,23272,34.8
9178757,ARMADA OLOMBENDO FPSO,"FPSO, Oil","FPSO, Oil",301963,170.5
9179048,CUROIL I,"FSO, Oil","FSO, Oil",2850,0
9179256,ATLANTIC REEFER,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",17178,0
9179268,PACIFIC REEFER,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",17283,0
9179270,SENNA 3,LPG Tanker,LPG-Small Gas Carrier,3003,12.7
9179323,SD NORTHERN RIVER,Platform Supply Ship,Platform Supply Ship,4550,0
9179347,SHRIA,Chemical/Products Tanker,Tanker-MR1,30031,45
9179373,VOORNEBORG,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8734,18.3
9179385,SIMUSHIR,General Cargo Ship,"General Cargo 5,000-9,999 dwt",9405,19.4
9179397,GREENSEA ARACENA,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",9011,0
9179402,GREENSEA LUCENA,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",8994,0
9179464,RUN SHENG,Container Ship (Fully Cellular),Containership-Small Feeder,10935,25.1
9179476,HE YANG,Container Ship (Fully Cellular),Containership-Small Feeder,10935,26.3
9179488,ORIS MARINE,Chemical/Products Tanker,"Tanker-<=4,999dwt",3522,10.2
9179505,TANTO JAYA,Container Ship (Fully Cellular),Containership-Regional Feeder,15237,28.7
9179555,ALASEHIR,General Cargo Ship,"General Cargo 10,000-14,999dwt",11174,25.7
9179567,NICOLA,General Cargo Ship,"General Cargo 10,000-14,999dwt",11425,25.7
9179608,FPSO CIDADE DE SAQUAREMA,"FPSO, Oil","FPSO, Oil",278610,169
9179696,GUAN YUAN FU XING,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,72964,65.7
9179713,FPSO CIDADE DE ITAGUAI MV26,"FPSO, Oil","FPSO, Oil",269110,0
9179725,MANON,Vehicles Carrier,"PCC/PCTC => 4,000 cars",28360,53
9179751,NORMAND PIONEER,Anchor Handling Tug Supply,Anchor Handling Tug Supply,5292,0
9179775,HIGH SPEED,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,80531,75.1
9179828,MSC SHIVALIKA III,Container Ship (Fully Cellular),Containership-Feedermax,33843,52
9179842,ANGARA,Ro-Ro Cargo Ship,Ro-ro cargo 500-999 LM,7331,0
9179854,ADLER,Ro-Ro Cargo Ship,Ro-ro cargo 500-999 LM,7493,0
9179880,KETALING,Products Tanker,"Tanker-5,000-7,499dwt",6500,0
9179892,KATOMAS,Products Tanker,"Tanker-5,000-7,499dwt",6500,0
9179907,KLASOGUN,Products Tanker,"Tanker-5,000-7,499dwt",6627,0
9179957,SHINSHO MARU,Limestone Carrier,Limestone Carrier,6154,0
9179971,MH ADVENTURE,General Cargo Ship,"General Cargo 5,000-9,999 dwt",7449,0
9179983,ERK IZMIR,Vehicles Carrier,PCC/PCTC 500-999 cars,3347,16.6
9179995,UGR ISTANBUL,Vehicles Carrier,PCC/PCTC 500-999 cars,3387,16.6
9180009,LONG TAN 239,Bulk Carrier,Bulk Carrier-Large Handy,28666,39.6
9180011,AMARILLO,Bulk Carrier,Bulk Carrier-Large Handy,28545,39.6
9180035,DONG MINH,Bulk Carrier,Bulk Carrier-Large Handy,28502,39.6
9180097,GANDINI,"FSO, Oil","FSO, Oil",32042,47.7
9180126,EVEREST,Crude/Oil Products Tanker,Tanker-LR2,98774,95.1
9180138,FPSO CIDADE DE CAMPOS DOS GOYTACAZES MV29,"FPSO, Oil","FPSO, Oil",298543,170.7
9180152,SULLANA,Crude Oil Tanker,Tanker-VLCC,306397,173
9180164,HIRA,Crude Oil Tanker,Tanker-VLCC,306307,173
9180190,JOLLY EXPRESS,Ro-Ro Cargo Ship,"Ro-ro cargo 2,000-2,999 LM",11202,28.7
9180205,JOLLY BLUE,Ro-Ro Cargo Ship,"Ro-ro cargo 2,000-2,999 LM",11203,28.7
9180217,AURORA,"FSO, Oil","FSO, Oil",103691,92.1
9180255,GALILEAN 7,"FSO, Oil","FSO, Oil",305796,0
9180281,HUMANITY,Crude Oil Tanker,Tanker-VLCC,299990,170
9180334,FLORA,Bulk Carrier,Bulk Carrier-Small Handy,23920,34.2
9180358,SELVANA,Bulk Carrier,Bulk Carrier-Large Handy,34939,42.2
9180360,HIZIR REIS,Bulk Carrier,Bulk Carrier-Large Handy,34941,42.4
9180372,TOMKAR,Bulk Carrier,Bulk Carrier-Large Handy,34948,42.2
9180384,EVALOVIA,Bulk Carrier,Bulk Carrier-Large Handy,34946,42.2
9180396,OLIVIA,Bulk Carrier,Bulk Carrier-Large Handy,34947,42.2
9180401,CEMSOL,Cement Carrier,Cement Carrier,4529,0
9180413,TOKAI MARU No. 1,Aggregates Carrier,Aggregates Carrier,531,0
9180437,KATSU MARU No. 35,Aggregates Carrier,Aggregates Carrier,1453,0
9180475,SADA MARU No. 38,Aggregates Carrier,Aggregates Carrier,964,0
9180530,TONG SHUN,Aggregates Carrier,Aggregates Carrier,1253,0
9180592,HOEI MARU No. 8,Aggregates Carrier,Aggregates Carrier,1550,0
9180786,ZHUN XING 1,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73688,65.4
9180803,HONG RUN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,73705,65.4
9180839,MOEZELBORG,General Cargo Ship,"General Cargo 5,000-9,999 dwt",9200,19.4
9180841,KAROLI,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6318,0
9180853,AMBER TRADER,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5727,0
9180865,CIELO,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6359,13.2
9180877,ANGELO,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6359,13.2
9180889,OKHA,"FPSO, Oil","FPSO, Oil",157823,117
9180891,PHOENIX STAR,"FSO, Oil","FSO, Oil",307151,170.7
9180906,TASOS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75100,67.3
9180918,HE FENG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75122,67.3
9180956,GUANA,General Cargo Ship,"General Cargo 15,000-19,999dwt",16211,29.5
9180968,MSC SHEILA F,General Cargo Ship,"General Cargo 15,000-19,999dwt",16211,29.5
9180982,SUPER,Products Tanker,Tanker-MR2,45507,50.7
9181027,MAJESTY,Bulk Carrier,Bulk Carrier-Handymax,46667,51.4
9181039,GREAT WENKAI,Bulk Carrier,Bulk Carrier-Supra/Ultramax,50327,53.3
9181041,SHENG LI,Bulk Carrier,Bulk Carrier-Supra/Ultramax,50326,53.3
9181065,JORUNN KNUTSEN,"FSO, Oil","FSO, Oil",125000,105.5
9181077,ESTRADEN,Ro-Ro Cargo Ship,"Ro-ro cargo 2,000-2,999 LM",9741,34
9181118,CAPT NATURE,Bulk Carrier,Bulk Carrier-Capesize,172247,120
9181120,HIROKI,Bulk Carrier,Bulk Carrier-Handymax,46620,51.4
9181132,WILD COSMOS,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",10097,24
9181144,BALTIC HEATHER,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",10114,24
9181156,BALTIC JASMINE,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",10114,24
9181168,WILD LOTUS,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",10139,24
9181170,INVINCIBLE,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",10358,0
9181182,NGUJIMA-YIN,"FPSO, Oil","FPSO, Oil",308491,169
9181194,FELIX,Crude Oil Tanker,Tanker-VLCC,308491,169
9181235,TOMIEI MARU,Aggregates Carrier,Aggregates Carrier,1650,0
9181376,SILVER RAY,Vehicles Carrier,"PCC/PCTC => 4,000 cars",15894,45
9181479,GRAND QUEST,Vehicles Carrier,"PCC/PCTC => 4,000 cars",16702,45.5
9181481,AETHRA,Offshore Support Vessel,Offshore Support Vessel,4582,0
